scheduled_arrival_hour,n_rows,actual_delay_rate,predicted_delay_rate,error_rate,false_positive_count,false_negative_count,false_positive_rate_on_ontime,false_negative_rate_on_delays,mean_predicted_delay_probability
0,460,0.6086956521739131,0.8130434782608695,0.3130434782608696,119,25,0.6611111111111111,0.08928571428571429,0.6121460795402527
1,189,0.656084656084656,0.8465608465608465,0.31746031746031744,48,12,0.7384615384615385,0.0967741935483871,0.6345757246017456
2,55,0.6,0.4909090909090909,0.43636363636363634,9,15,0.4090909090909091,0.45454545454545453,0.547893226146698
3,34,0.7352941176470589,0.6764705882352942,0.17647058823529413,2,4,0.2222222222222222,0.16,0.5758818984031677
4,39,0.7948717948717948,0.9487179487179487,0.15384615384615385,6,0,0.75,0.0,0.6862320303916931
5,435,0.6183908045977011,0.7701149425287356,0.2942528735632184,97,31,0.5843373493975904,0.11524163568773234,0.607879638671875
6,931,0.5392051557465092,0.6895810955961332,0.3501611170784103,233,93,0.5431235431235432,0.1852589641434263,0.5417736768722534
7,1025,0.5590243902439025,0.6731707317073171,0.32682926829268294,226,109,0.5,0.19022687609075042,0.5618255734443665
8,960,0.5395833333333333,0.5947916666666667,0.35104166666666664,195,142,0.4411764705882353,0.27413127413127414,0.5142163634300232
9,951,0.4405888538380652,0.46267087276551,0.3627760252365931,183,162,0.34398496240601506,0.38663484486873506,0.4455137550830841
10,985,0.39593908629441626,0.39898477157360407,0.3319796954314721,165,162,0.2773109243697479,0.4153846153846154,0.4318372905254364
11,978,0.3967280163599182,0.22903885480572597,0.35991820040899797,94,258,0.15932203389830507,0.6649484536082474,0.39301642775535583
12,964,0.3993775933609959,0.3796680497925311,0.36618257261410786,167,186,0.28842832469775476,0.4831168831168831,0.4100804328918457
13,954,0.40041928721174,0.319706498951782,0.3721174004192872,139,216,0.243006993006993,0.5654450261780105,0.39746516942977905
14,959,0.4129301355578728,0.31386861313868614,0.3743482794577685,132,227,0.2344582593250444,0.5732323232323232,0.41538217663764954
15,1008,0.44345238095238093,0.49603174603174605,0.3482142857142857,202,149,0.3600713012477718,0.3333333333333333,0.4486934244632721
16,1042,0.44241842610364684,0.4990403071017274,0.3522072936660269,213,154,0.36660929432013767,0.33405639913232105,0.4629537761211395
17,971,0.5303810504634398,0.5581874356333677,0.3470648815653965,182,155,0.3991228070175439,0.30097087378640774,0.4849184453487396
18,1000,0.484,0.567,0.359,221,138,0.42829457364341084,0.28512396694214875,0.48284852504730225
19,983,0.46795523906408953,0.5391658189216684,0.3886063072227874,226,156,0.4321223709369025,0.3391304347826087,0.46660274267196655
20,1022,0.41193737769080235,0.4217221135029354,0.36203522504892366,190,180,0.3161397670549085,0.42755344418052255,0.4344240427017212
21,850,0.4576470588235294,0.5141176470588236,0.34823529411764703,172,124,0.37310195227765725,0.31876606683804626,0.47228026390075684
22,709,0.48519040902679833,0.49647390691114246,0.37799717912552894,138,130,0.3780821917808219,0.37790697674418605,0.48207563161849976
23,660,0.5696969696969697,0.7196969696969697,0.32272727272727275,156,57,0.5492957746478874,0.15159574468085107,0.5657467842102051
