feature,coefficient,abs_coefficient
categorical__stop_name_Lausanne-Flon,-1.2112682955546459,1.2112682955546459
categorical__train_type_IR,-0.5487726967035952,0.5487726967035952
categorical__stop_name_Lausanne-Chauderon,0.5449118498981933,0.5449118498981933
categorical__line_name_R2,0.5428939521838869,0.5428939521838869
categorical__scheduled_arrival_hour_1,0.5301294131890545,0.5301294131890545
categorical__scheduled_arrival_hour_0,0.4921120646007824,0.4921120646007824
categorical__stop_name_Romanel-sur-Lausanne,0.48087620543097453,0.48087620543097453
categorical__line_name_R1,-0.45950820604437287,0.45950820604437287
categorical__line_name_IR15,-0.4462446295333878,0.4462446295333878
categorical__scheduled_arrival_hour_11,-0.42334413903900836,0.42334413903900836
categorical__train_type_S,0.4136228404712789,0.4136228404712789
categorical__line_name_RE33,0.4093818461764828,0.4093818461764828
categorical__scheduled_arrival_hour_13,-0.4089435945132708,0.4089435945132708
categorical__line_name_S40,0.38386079046729943,0.38386079046729943
categorical__scheduled_arrival_hour_5,0.3537614516649248,0.3537614516649248
categorical__scheduled_arrival_hour_7,0.33609003161469897,0.33609003161469897
categorical__line_name_R8,0.3348667511777179,0.3348667511777179
categorical__scheduled_arrival_hour_14,-0.3269984276027228,0.3269984276027228
categorical__line_name_R3,-0.324517770530217,0.324517770530217
categorical__scheduled_arrival_hour_12,-0.311802661287691,0.311802661287691
categorical__train_type_RE,0.27176959857136174,0.27176959857136174
categorical__train_type_IC,-0.27157014911108823,0.27157014911108823
categorical__scheduled_arrival_hour_10,-0.26909671650934097,0.26909671650934097
categorical__scheduled_arrival_hour_23,0.2640067816181236,0.2640067816181236
categorical__scheduled_arrival_hour_infrequent_sklearn,0.249347404679872,0.249347404679872
categorical__line_name_R9,0.2430785777452913,0.2430785777452913
categorical__stop_name_Lausanne,0.23167827757649806,0.23167827757649806
categorical__scheduled_arrival_hour_6,0.22450695663339362,0.22450695663339362
categorical__line_name_IC5,-0.21448143003245262,0.21448143003245262
categorical__scheduled_arrival_hour_15,-0.2105645139938252,0.2105645139938252
categorical__line_name_IR95,-0.20929144262893457,0.20929144262893457
categorical__scheduled_arrival_hour_20,-0.19837847123064806,0.19837847123064806
binary__is_weekend,-0.19117000265624481,0.19117000265624481
categorical__scheduled_arrival_hour_9,-0.18728766226749266,0.18728766226749266
categorical__line_name_R20,-0.18548024022548387,0.18548024022548387
categorical__line_name_IR,0.16095489190650045,0.16095489190650045
categorical__scheduled_arrival_hour_8,0.12967639471353443,0.12967639471353443
categorical__scheduled_arrival_weekday_name_Saturday,-0.10569500390965414,0.10569500390965414
continuous__precipitation,0.10434748227201224,0.10434748227201224
categorical__scheduled_arrival_hour_19,-0.09838030703755221,0.09838030703755221
categorical__train_type_infrequent_sklearn,0.09764999689998542,0.09764999689998542
categorical__season_Summer,-0.09641417905263233,0.09641417905263233
categorical__scheduled_arrival_hour_21,-0.08719487948742156,0.08719487948742156
categorical__scheduled_arrival_weekday_name_Sunday,-0.0854749987465884,0.0854749987465884
categorical__train_type_R,0.0834984472230664,0.0834984472230664
categorical__line_name_R4,-0.07934359701101341,0.07934359701101341
categorical__line_name_IR90,-0.07464287575365347,0.07464287575365347
categorical__scheduled_arrival_weekday_name_Thursday,0.0726141937806156,0.0726141937806156
categorical__season_Autumn,0.06794091457954855,0.06794091457954855
categorical__scheduled_arrival_weekday_name_Monday,0.06020257061475509,0.06020257061475509
categorical__scheduled_arrival_hour_16,-0.04336633956216024,0.04336633956216024
categorical__scheduled_arrival_weekday_name_Wednesday,0.04299320204042884,0.04299320204042884
categorical__scheduled_arrival_weekday_name_Tuesday,0.04284299313569259,0.04284299313569259
categorical__season_Winter,0.04197679190424291,0.04197679190424291
continuous__temperature_2m,0.03894141916888673,0.03894141916888673
categorical__line_name_infrequent_sklearn,-0.037555147981954536,0.037555147981954536
categorical__season_Spring,0.032694509919854405,0.032694509919854405
categorical__scheduled_arrival_hour_22,0.032011987971796954,0.032011987971796954
categorical__line_name_S41,0.029762050003979808,0.029762050003979808
categorical__line_name_IC1,-0.027535482568676998,0.027535482568676998
categorical__scheduled_arrival_weekday_name_Friday,0.01871508043576162,0.01871508043576162
continuous__wind_speed_10m,0.008037938618519553,0.008037938618519553
categorical__scheduled_arrival_hour_17,-0.005165975965813996,0.005165975965813996
categorical__scheduled_arrival_hour_18,0.005079239161782709,0.005079239161782709
