partition,season,delayed,n_rows,share_within_partition
train,Autumn,0,10142,0.1395931400886393
train,Autumn,1,9855,0.1356429102320588
train,Spring,0,10527,0.14489222892063755
train,Spring,1,9288,0.12783879758857047
train,Summer,0,6909,0.09509455776695021
train,Summer,1,5892,0.0810967049302172
train,Winter,0,10630,0.14630990723153578
train,Winter,1,9411,0.1295317532413907
test,Autumn,0,2535,0.13956177053512442
test,Autumn,1,2464,0.13565293988108346
test,Spring,0,2632,0.1449020039638846
test,Spring,1,2322,0.12783527857300153
test,Summer,0,1727,0.09507817661308082
test,Summer,1,1473,0.08109447258313147
test,Winter,0,2658,0.14633340673860384
test,Winter,1,2353,0.12954195111208985
fold_01_train,Autumn,0,8114,0.1396005023828777
fold_01_train,Autumn,1,7884,0.1356433769764121
fold_01_train,Spring,0,8422,0.14489960944892727
fold_01_train,Spring,1,7430,0.12783235552191044
fold_01_train,Summer,0,5527,0.0950914440066755
fold_01_train,Summer,1,4714,0.08110386593947319
fold_01_train,Winter,0,8504,0.14631041068079761
fold_01_train,Winter,1,7528,0.1295184350429262
fold_01_validation,Autumn,0,2028,0.13956369141834699
fold_01_validation,Autumn,1,1971,0.1356410432867662
fold_01_validation,Spring,0,2105,0.14486270731539466
fold_01_validation,Spring,1,1858,0.12786456541187805
fold_01_validation,Summer,0,1382,0.09510701259376506
fold_01_validation,Summer,1,1178,0.08106806138600234
fold_01_validation,Winter,0,2126,0.14630789346913495
fold_01_validation,Winter,1,1883,0.12958502511871173
fold_02_train,Autumn,0,8113,0.1395832974898061
fold_02_train,Autumn,1,7884,0.1356433769764121
fold_02_train,Spring,0,8421,0.1448824045558557
fold_02_train,Spring,1,7431,0.12784956041498202
fold_02_train,Summer,0,5527,0.0950914440066755
fold_02_train,Summer,1,4714,0.08110386593947319
fold_02_train,Winter,0,8504,0.14631041068079761
fold_02_train,Winter,1,7529,0.1295356399359978
fold_02_validation,Autumn,0,2029,0.13963250980662034
fold_02_validation,Autumn,1,1971,0.1356410432867662
fold_02_validation,Spring,0,2106,0.14493152570366802
fold_02_validation,Spring,1,1857,0.12779574702360472
fold_02_validation,Summer,0,1382,0.09510701259376506
fold_02_validation,Summer,1,1178,0.08106806138600234
fold_02_validation,Winter,0,2126,0.14630789346913495
fold_02_validation,Winter,1,1882,0.12951620673043837
fold_03_train,Autumn,0,8113,0.1395832974898061
fold_03_train,Autumn,1,7884,0.1356433769764121
fold_03_train,Spring,0,8421,0.1448824045558557
fold_03_train,Spring,1,7431,0.12784956041498202
fold_03_train,Summer,0,5527,0.0950914440066755
fold_03_train,Summer,1,4714,0.08110386593947319
fold_03_train,Winter,0,8504,0.14631041068079761
fold_03_train,Winter,1,7529,0.1295356399359978
fold_03_validation,Autumn,0,2029,0.13963250980662034
fold_03_validation,Autumn,1,1971,0.1356410432867662
fold_03_validation,Spring,0,2106,0.14493152570366802
fold_03_validation,Spring,1,1857,0.12779574702360472
fold_03_validation,Summer,0,1382,0.09510701259376506
fold_03_validation,Summer,1,1178,0.08106806138600234
fold_03_validation,Winter,0,2126,0.14630789346913495
fold_03_validation,Winter,1,1882,0.12951620673043837
fold_04_train,Autumn,0,8114,0.1396005023828777
fold_04_train,Autumn,1,7884,0.1356433769764121
fold_04_train,Spring,0,8422,0.14489960944892727
fold_04_train,Spring,1,7430,0.12783235552191044
fold_04_train,Summer,0,5527,0.0950914440066755
fold_04_train,Summer,1,4713,0.0810866610464016
fold_04_train,Winter,0,8504,0.14631041068079761
fold_04_train,Winter,1,7529,0.1295356399359978
fold_04_validation,Autumn,0,2028,0.13956369141834699
fold_04_validation,Autumn,1,1971,0.1356410432867662
fold_04_validation,Spring,0,2105,0.14486270731539466
fold_04_validation,Spring,1,1858,0.12786456541187805
fold_04_validation,Summer,0,1382,0.09510701259376506
fold_04_validation,Summer,1,1179,0.08113687977427568
fold_04_validation,Winter,0,2126,0.14630789346913495
fold_04_validation,Winter,1,1882,0.12951620673043837
fold_05_train,Autumn,0,8114,0.13959810061248365
fold_05_train,Autumn,1,7884,0.1356410432867662
fold_05_train,Spring,0,8422,0.14489711650953135
fold_05_train,Spring,1,7430,0.12783015621774138
fold_05_train,Summer,0,5528,0.09510701259376506
fold_05_train,Summer,1,4713,0.08108526598307067
fold_05_train,Winter,0,8504,0.14630789346913495
fold_05_train,Winter,1,7529,0.1295334113275067
fold_05_validation,Autumn,0,2028,0.1395732966276669
fold_05_validation,Autumn,1,1971,0.13565037852718514
fold_05_validation,Spring,0,2105,0.14487267721954578
fold_05_validation,Spring,1,1858,0.12787336545079148
fold_05_validation,Summer,0,1381,0.09504473503097041
fold_05_validation,Summer,1,1179,0.0811424638678596
fold_05_validation,Winter,0,2126,0.14631796283551274
fold_05_validation,Winter,1,1882,0.129525120440468
